model,scenario,Category
COFFEE 1.1,EN_NPi2020_1800,C5
COFFEE 1.1,EN_NPi2020_1800f,C5
COFFEE 1.1,EN_NPi2020_2000,C5
COFFEE 1.1,EN_NPi2020_2000f,C5
COFFEE 1.1,EN_NPi2020_2500,C6
COFFEE 1.1,EN_NPi2020_2500f,C6
COFFEE 1.1,EN_NPi2020_400,C1
COFFEE 1.1,EN_NPi2020_400_lowBECCS,C3
COFFEE 1.1,EN_NPi2020_400f,C2
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3
COFFEE 1.1,EN_NPi2020_500,C3
COFFEE 1.1,EN_NPi2020_500f,C2
COFFEE 1.1,EN_NPi2020_600,C3
COFFEE 1.1,EN_NPi2020_600f,C4
COFFEE 1.1,EN_NPi2020_700,C3
COFFEE 1.1,EN_NPi2020_700f,C4
COFFEE 1.1,EN_NPi2020_800,C3
COFFEE 1.1,EN_NPi2020_800f,C4
COFFEE 1.1,EN_NPi2020_900,C3
COFFEE 1.1,EN_NPi2020_900f,C4
COFFEE 1.1,EN_NPi2100,C6
GCAM 4.2,SSP3-Baseline,C8
GCAM 4.2,SSP4-Baseline,C7
GCAM 5.3,NGFS2_Below 2°C,C3
GCAM 5.3,NGFS2_Current Policies,C7
GCAM 5.3,NGFS2_Delayed Transition,C4
GCAM 5.3,NGFS2_Divergent Net Zero Policies,C2
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5
GCAM 5.3,NGFS2_Net-Zero 2050,C2
GCAM 5.3,R_BAU,C7
GCAM 5.3,R_MAC_30_n0,C1
GCAM 5.3,R_MAC_35_n0,C3
GCAM 5.3,R_MAC_35_n8,C1
GCAM 5.3,R_MAC_40_n0,C3
GCAM 5.3,R_MAC_40_n8,C1
GCAM 5.3,R_MAC_45_n0,C3
GCAM 5.3,R_MAC_45_n8,C1
GCAM 5.3,R_MAC_50_n0,C3
GCAM 5.3,R_MAC_50_n8,C1
GCAM 5.3,R_MAC_55_n0,C3
GCAM 5.3,R_MAC_55_n8,C2
GCAM 5.3,R_MAC_60_n0,C3
GCAM 5.3,R_MAC_60_n8,C2
GCAM 5.3,R_MAC_65_n0,C3
GCAM 5.3,R_MAC_65_n8,C3
GCAM 5.3,R_MAC_70_n0,C4
GCAM 5.3,R_MAC_70_n8,C3
GCAM 5.3,R_MAC_75_n0,C4
GCAM 5.3,R_MAC_75_n8,C3
GCAM 5.3,R_MAC_80_n0,C4
GCAM 5.3,R_MAC_80_n8,C4
GCAM 5.3,R_MAC_85_n0,C5
GCAM 5.3,R_MAC_85_n8,C4
GCAM 5.3,R_MAC_90_n0,C5
GCAM 5.3,R_MAC_90_n8,C4
GCAM 5.3,R_MAC_95_n0,C5
GCAM 5.3,R_MAC_95_n8,C4
GCAM 5.3,R_MAC_99_n0,C5
GCAM 5.3,R_MAC_99_n8,C5
GCAM 5.3,SSP_SSP2,C3
GCAM 5.3,SSP_SSP3,C2
GCAM 5.3,SSP_SSP4,C2
GCAM 5.3,SSP_SSP5,C3
GCAM-PR 5.3,PR_CP_PriceOnly,C7
GCAM-PR 5.3,PR_NDC_PriceOnly,C6
GCAM-PR 5.3,PR_baseline,C7
IMAGE 3.0,CO_2Deg2020,C3
IMAGE 3.0,CO_2Deg2030,C3
IMAGE 3.0,CO_BAU,C7
IMAGE 3.0,CO_Bridge,C3
IMAGE 3.0,CO_CurPol,C7
IMAGE 3.0,CO_GPP,C5
IMAGE 3.0,CO_NDCplus,C7
IMAGE 3.0,EN_INDCi2030_1000,C4
IMAGE 3.0,EN_INDCi2030_1000f,C4
IMAGE 3.0,EN_INDCi2030_1200,C4
IMAGE 3.0,EN_INDCi2030_1200f,C4
IMAGE 3.0,EN_INDCi2030_1400,C5
IMAGE 3.0,EN_INDCi2030_1400f,C4
IMAGE 3.0,EN_INDCi2030_3000,C6
IMAGE 3.0,EN_INDCi2030_3000f,C6
IMAGE 3.0,EN_INDCi2030_800f,C3
IMAGE 3.0,EN_INDCi2100,C7
IMAGE 3.0,EN_NPi2020_1000,C3
IMAGE 3.0,EN_NPi2020_1000f,C3
IMAGE 3.0,EN_NPi2020_1200,C4
IMAGE 3.0,EN_NPi2020_1200f,C4
IMAGE 3.0,EN_NPi2020_1400,C4
IMAGE 3.0,EN_NPi2020_1400f,C4
IMAGE 3.0,EN_NPi2020_3000,C6
IMAGE 3.0,EN_NPi2020_3000f,C6
IMAGE 3.0,EN_NPi2020_600f,C3
IMAGE 3.0,EN_NPi2020_800,C3
IMAGE 3.0,EN_NPi2020_800f,C3
IMAGE 3.0,EN_NPi2100,C7
IMAGE 3.0,EN_NoPolicy,C7
IMAGE 3.0.1,ADVANCE_2020_1.5C-2100,C2
IMAGE 3.0.1,ADVANCE_2020_Med2C,C4
IMAGE 3.0.1,ADVANCE_2020_WB2C,C3
IMAGE 3.0.1,ADVANCE_2030_Med2C,C4
IMAGE 3.0.1,ADVANCE_2030_WB2C,C3
IMAGE 3.0.1,ADVANCE_INDC,C6
IMAGE 3.0.1,ADVANCE_NoPolicy,C7
IMAGE 3.0.1,ADVANCE_Reference,C7
IMAGE 3.0.1,CD-LINKS_INDC2030i_1600,C4
IMAGE 3.0.1,CD-LINKS_INDCi,C7
IMAGE 3.0.1,CD-LINKS_NDC2030i_1000,C3
IMAGE 3.0.1,CD-LINKS_NPi,C7
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,C3
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,C4
IMAGE 3.0.1,CD-LINKS_NPi2020_400,C2
IMAGE 3.0.1,CD-LINKS_NoPolicy,C7
IMAGE 3.0.1,SSP1-26,C3
IMAGE 3.0.1,SSP1-34,C5
IMAGE 3.0.1,SSP1-45,C6
IMAGE 3.0.1,SSP1-Baseline,C7
IMAGE 3.0.1,SSP2-26,C3
IMAGE 3.0.1,SSP2-34,C5
IMAGE 3.0.1,SSP2-45,C6
IMAGE 3.0.1,SSP2-60,C7
IMAGE 3.0.1,SSP2-Baseline,C7
IMAGE 3.0.1,SSP3-34,C5
IMAGE 3.0.1,SSP3-45,C6
IMAGE 3.0.1,SSP3-60,C7
IMAGE 3.0.1,SSP3-Baseline,C7
IMAGE 3.0.1,SSP4-26,C3
IMAGE 3.0.1,SSP4-34,C5
IMAGE 3.0.1,SSP4-45,C6
IMAGE 3.0.1,SSP4-60,C7
IMAGE 3.0.1,SSP4-Baseline,C7
IMAGE 3.0.1,SSP5-34,C5
IMAGE 3.0.1,SSP5-45,C6
IMAGE 3.0.1,SSP5-60,C7
IMAGE 3.0.1,SSP5-Baseline,C8
IMAGE 3.0.2,EMF33_Baseline,C7
IMAGE 3.0.2,EMF33_Med2C_cost100,C5
IMAGE 3.0.2,EMF33_Med2C_full,C5
IMAGE 3.0.2,EMF33_Med2C_limbio,C5
IMAGE 3.0.2,EMF33_Med2C_nobeccs,C4
IMAGE 3.0.2,EMF33_Med2C_nofuel,C4
IMAGE 3.0.2,EMF33_Med2C_none,C4
IMAGE 3.0.2,EMF33_WB2C_cost100,C3
IMAGE 3.0.2,EMF33_WB2C_full,C3
IMAGE 3.0.2,EMF33_WB2C_limbio,C3
IMAGE 3.0.2,EMF33_WB2C_nobeccs,C3
IMAGE 3.0.2,EMF33_WB2C_nofuel,C3
IMAGE 3.0.2,EMF33_tax_hi_full,C4
IMAGE 3.0.2,EMF33_tax_hi_none,C5
IMAGE 3.0.2,EMF33_tax_lo_full,C5
IMAGE 3.0.2,EMF33_tax_lo_none,C5
IMAGE 3.2,SSP1-baseline,C7
IMAGE 3.2,SSP1_SPA1_19I_D,C2
IMAGE 3.2,SSP1_SPA1_19I_D_LB,C1
IMAGE 3.2,SSP1_SPA1_19I_LI,C2
IMAGE 3.2,SSP1_SPA1_19I_LIRE,C2
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,C1
IMAGE 3.2,SSP1_SPA1_19I_RE,C2
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,C1
IMAGE 3.2,SSP1_SPA1_26I_D,C3
IMAGE 3.2,SSP1_SPA1_26I_LI,C3
IMAGE 3.2,SSP1_SPA1_26I_LIRE,C3
IMAGE 3.2,SSP1_SPA1_26I_RE,C3
IMAGE 3.2,SSP1_SPA1_34I_D,C5
IMAGE 3.2,SSP1_SPA1_34I_LI,C5
IMAGE 3.2,SSP1_SPA1_34I_LIRE,C5
IMAGE 3.2,SSP1_SPA1_34I_RE,C5
IMAGE 3.2,SSP2-baseline,C7
IMAGE 3.2,SSP2_SPA0_26I_D,C3
IMAGE 3.2,SSP2_SPA1_19I_D_LB,C1
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,C1
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,C1
IMAGE 3.2,SSP2_SPA2_19I_D,C2
IMAGE 3.2,SSP2_SPA2_19I_LI,C1
IMAGE 3.2,SSP2_SPA2_19I_LIRE,C2
IMAGE 3.2,SSP2_SPA2_19I_RE,C2
IMAGE 3.2,SSP2_SPA2_26I_D,C3
IMAGE 3.2,SSP2_SPA2_26I_LI,C3
IMAGE 3.2,SSP2_SPA2_26I_LIRE,C3
IMAGE 3.2,SSP2_SPA2_26I_RE,C3
IMAGE 3.2,SSP2_SPA2_34I_D,C5
IMAGE 3.2,SSP2_SPA2_34I_LI,C5
IMAGE 3.2,SSP2_SPA2_34I_LIRE,C5
IMAGE 3.2,SSP2_SPA2_34I_RE,C5
IMAGE 3.2,SSP2_SPA2_45I_D,C6
IMAGE 3.2,SSP2_SPA2_45I_LI,C6
IMAGE 3.2,SSP2_SPA2_45I_LIRE,C6
IMAGE 3.2,SSP2_SPA2_45I_RE,C6
IMAGE 3.2,SSP3-baseline,C7
IMAGE 3.2,SSP4-baseline,C7
IMAGE 3.2,SSP5-baseline,C8
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,C1
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_Med2C,C4
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C,C3
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Med2C,C4
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C,C2
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C,C3
MESSAGE-GLOBIOM 1.0,ADVANCE_INDC,C5
MESSAGE-GLOBIOM 1.0,ADVANCE_Reference,C6
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,C1
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,C1
MESSAGE-GLOBIOM 1.0,EMF33_Baseline,C7
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_cost100,C4
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_full,C4
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_limbio,C4
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs,C3
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nofuel,C4
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_none,C3
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,C2
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,C2
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,C2
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,C2
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full,C3
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_none,C4
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_full,C5
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_none,C5
MESSAGE-GLOBIOM 1.0,SSP1-26,C4
MESSAGE-GLOBIOM 1.0,SSP1-34,C5
MESSAGE-GLOBIOM 1.0,SSP1-45,C6
MESSAGE-GLOBIOM 1.0,SSP1-Baseline,C7
MESSAGE-GLOBIOM 1.0,SSP2-19,C1
MESSAGE-GLOBIOM 1.0,SSP2-26,C3
MESSAGE-GLOBIOM 1.0,SSP2-34,C5
MESSAGE-GLOBIOM 1.0,SSP2-45,C6
MESSAGE-GLOBIOM 1.0,SSP2-60,C7
MESSAGE-GLOBIOM 1.0,SSP2-Baseline,C7
MESSAGE-GLOBIOM 1.0,SSP3-34,C4
MESSAGE-GLOBIOM 1.0,SSP3-45,C5
MESSAGE-GLOBIOM 1.0,SSP3-60,C6
MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDC2030i_1600,C4
MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDCi,C7
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NDC2030i_1000,C2
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi,C7
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,C2
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1600,C4
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,C1
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NoPolicy,C7
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_COV_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_COV_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000f_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000f_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000_COV_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000f,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000f_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000f_COV_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000f_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950f_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2100,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_COV_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR10p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR1p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR2p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR3p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR4p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR10p,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR1p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR2p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR3p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR4p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200f,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200f_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400f,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400f_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600f,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600f_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800f,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000f,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500f,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500f_COV,C5
